 Período,anio,incidencia,brecha,serevidad;Anio;;;
Marzo;2008;25,2;8,4;4,2
;2009;23,6;7,9;3,9
;2010;22,6;7,4;3,6
;2011;21,5;6,8;3,2
;2012;16;4,9;2,2
;2013;17,7;5,2;2,3
;2014;16,8;4,9;2,1
;2015;15,1;4,5;2
;2016;16,6;5,9;3
;2017;15,8;4,7;2,2
Junio;2007;22,4;7,9;4,1
;2008;23,3;7,8;3,8
;2009;21,8;7,3;3,5
;2010;22,9;8,1;4,1
;2011;19,3;6,1;2,9
;2012;15,3;4,7;2,1
;2013;14,9;4,6;2,1
;2014;16,3;4,9;2,2
;2015;14,4;4,4;2
;2016;15,6;4,7;2,3
;2017;14,6;4,3;2
Septiembre;2007;22;7,4;3,5
;2008;22;7,8;3,8
;2009;25,5;8,6;4,2
;2010;22,7;7,8;3,8
;2011;18,2;6,2;3
;2012;16,3;5,1;2,4
;2013;15,7;4,7;4,7
;2014;15,8;4,8;2,2
;2015;15;4,4;1,9
;2016;14,5;4,5;2,1
Diciembre;2007;24,3;8,4;4,2
;2008;22,6;7,9;3,9
;2009;25;8,8;4,4
;2010;22,5;7,6;3,7
;2011;17,4;5,5;2,6
;2012;16,1;5,3;2,6
;2013;17,6;5,4;2,5
;2014;16,4;5,1;2,4
;2015;15,7;5;2,4
;2016;15,7;5,1;2,5
